Order Line ID,Order ID,Order Priority,Customer ID,Customer Name,Customer Segment,City,Product Category,Product Sub Category,Product Container,Product Name,Profit,Quantity Ordered,Sales,Discount,Gross Unit Price,Shipping Cost,Ship Mode,Ship Date,Order Date,No data,No data 2,No data 3,City_1,State,Postal_Code,Country,Latitude,Longitude,Continent,Region
"2183","89772","High","833","Gerald Love","Corporate","St. Petersburg","Furniture","Tables","Large Box","Hon 4060 Series Tables",-717.74,5,549.44,24.54,118.16,69.0,"Regular Air",'2015-03-07','2015-03-06',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2299","89551","Not Specified","886","Betty Barbour","Consumer","St. Petersburg","Furniture","Office Furnishings","Large Box","Tensor Computer Mounted Lamp",-15.39,6,19.51,1.09,3.46,3.97,"Regular Air",'2015-02-07','2015-02-05',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2084","91517","High","786","Jason Bray","Home Office","St. Petersburg","Office Supplies","Scissors, Rulers and Trimmers","Small Pack","Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",-11.09,2,14.01,0.579999999999,7.22,8.369999999999,"Regular Air",'2015-03-05','2015-03-03',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2117","90048","Medium","803","Marianne Goldstein","Small Business","St. Petersburg","Technology","Telephones and Communication","Small Box","Accessory27",-178.3,3,110.55,2.11,37.99,5.0,"Regular Air",'2012-10-30','2012-10-29',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2099","86869","Not Specified","796","Amanda Conner","Corporate","St. Petersburg","Office Supplies","Appliances","Medium Box","Holmes Odor Grabber",-19.42,1,13.7,0.93,15.22,6.75,"Regular Air",'2012-06-22','2012-06-19',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2521","86175","High","969","Joel Abrams","Consumer","St. Petersburg","Furniture","Office Furnishings","Medium Box","36X48 HARDFLOOR CHAIRMAT",-610.77,17,376.55,3.42,22.15,21.2,"Regular Air",'2013-05-15','2013-05-15',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2224","88571","Critical","858","Arthur Brady","Corporate","St. Petersburg","Technology","Telephones and Communication","Wrap Bag","Accessory41",-121.58,2,72.18,1.88,37.99,5.99,"Express Air",'2012-11-02','2012-10-31',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2400","86363","High","914","Marianne Cochran","Home Office","St. Petersburg","Office Supplies","Storage & Organization","Small Box","Eldon Shelf Savers™ Cubes and Bins",-44.03,8,55.35,2.549999999999,7.36,9.69,"Regular Air",'2015-03-13','2015-03-12',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2647","89012","Not Specified","1026","Eugene Kerr","Small Business","St. Petersburg","Office Supplies","Binders and Binder Accessories","Small Box","Peel & Stick Add-On Corner Pockets",-29.8,18,37.59,2.049999999999,2.27,6.05,"Regular Air",'2014-09-15','2014-09-15',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2315","89550","Medium","889","Elsie G Ferguson","Consumer","St. Petersburg","Furniture","Office Furnishings","Small Pack","Executive Impressions 14"" Two-Color Numerals Wall Clock",-15.7,3,19.7,0.61,6.84,9.68,"Regular Air",'2015-01-28','2015-01-26',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2351","90168","Critical","896","Jennifer Siegel","Corporate","St. Petersburg","Office Supplies","Storage & Organization","Jumbo Drum","Tennsco Lockers, Sand",-183.8,11,231.47,9.27,22.15,45.0,"Delivery Truck",'2014-01-11','2014-01-09',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"2772","86423","Low","1074","Sherry Brantley","Home Office","St. Petersburg","Office Supplies","Paper","Small Box","Xerox 198",-42.79,11,53.81,3.22,5.26,8.33,"Regular Air",'2013-02-26','2013-02-26',"","","","St. Petersburg","City of St. Petersburg","RU101696","Russia","59.939","30.316","Europe","Eastern Europe"
"6050","91037","Low","2221","Jacob Dale","Consumer","Standerton","Office Supplies","Binders and Binder Accessories","Small Box","Storex Dura Pro™ Binders",-9.71,2,12.27,0.16,6.26,9.92,"Regular Air",'2015-05-27','2015-05-22',"","","","Standerton","Mpumalanga","ZA101685","South Africa","-26.93","29.240","Africa","Southern Africa"
